estado;dia;quantidaDeCasos
Amazonia;02/03/2020;0
Amazonia;03/03/2020;0
Amazonia;04/03/2020;0
Amazonia;05/03/2020;0
Amazonia;06/03/2020;0
Amazonia;07/03/2020;0
Amazonia;08/03/2020;0
Amazonia;09/03/2020;0
Amazonia;10/03/2020;0
Amazonia;11/03/2020;0
Amazonia;12/03/2020;0
Amazonia;13/03/2020;0
Amazonia;14/03/2020;0
Amazonia;15/03/2020;1
Amazonia;16/03/2020;0
Amazonia;17/03/2020;0
Amazonia;18/03/2020;0
Amazonia;19/03/2020;2
Amazonia;20/03/2020;0
Amazonia;21/03/2020;8
Amazonia;22/03/2020;15
Amazonia;23/03/2020;6
Amazonia;24/03/2020;15
Amazonia;25/03/2020;7
Amazonia;26/03/2020;13
Amazonia;27/03/2020;14
Amazonia;28/03/2020;30
Amazonia;29/03/2020;29
Amazonia;30/03/2020;11
Amazonia;31/03/2020;24
Amazonia;01/04/2020;25
Amazonia;02/04/2020;29
Amazonia;03/04/2020;31
Amazonia;04/04/2020;51
Amazonia;05/04/2020;106
Amazonia;06/04/2020;115
Amazonia;07/04/2020;104
Amazonia;08/04/2020;168
Amazonia;09/04/2020;95
Amazonia;10/04/2020;82
Amazonia;11/04/2020;69
Amazonia;12/04/2020;156
Amazonia;13/04/2020;69
Amazonia;14/04/2020;209
Amazonia;15/04/2020;70
Amazonia;16/04/2020;165
Amazonia;17/04/2020;90
Amazonia;18/04/2020;88
Amazonia;19/04/2020;147
Amazonia;20/04/2020;116
Roraima;30/01/2020;0
Roraima;31/01/2020;0
Roraima;01/02/2020;0
Roraima;02/02/2020;0
Roraima;03/02/2020;0
Roraima;04/02/2020;0
Roraima;05/02/2020;0
Roraima;06/02/2020;0
Roraima;07/02/2020;0
Roraima;08/02/2020;0
Roraima;09/02/2020;0
Roraima;10/02/2020;0
Roraima;11/02/2020;0
Roraima;12/02/2020;0
Roraima;13/02/2020;0
Roraima;14/02/2020;0
Roraima;15/02/2020;0
Roraima;16/02/2020;0
Roraima;17/02/2020;0
Roraima;18/02/2020;0
Roraima;19/02/2020;0
Roraima;20/02/2020;0
Roraima;21/02/2020;0
Roraima;22/02/2020;0
Roraima;23/02/2020;0
Roraima;24/02/2020;0
Roraima;25/02/2020;0
Roraima;26/02/2020;0
Roraima;27/02/2020;0
Roraima;28/02/2020;0
Roraima;29/02/2020;0
Roraima;01/03/2020;0
Roraima;02/03/2020;0
Roraima;03/03/2020;0
Roraima;04/03/2020;0
Roraima;05/03/2020;0
Roraima;06/03/2020;0
Roraima;07/03/2020;0
Roraima;08/03/2020;0
Roraima;09/03/2020;0
Roraima;10/03/2020;0
Roraima;11/03/2020;0
Roraima;12/03/2020;0
Roraima;13/03/2020;0
Roraima;14/03/2020;0
Roraima;15/03/2020;0
Roraima;16/03/2020;0
Roraima;17/03/2020;0
Roraima;18/03/2020;0
Roraima;19/03/2020;0
Roraima;20/03/2020;0
Roraima;21/03/2020;0
Roraima;22/03/2020;2
Roraima;23/03/2020;0
Roraima;24/03/2020;0
Roraima;25/03/2020;6
Roraima;26/03/2020;0
Roraima;27/03/2020;2
Roraima;28/03/2020;2
Roraima;29/03/2020;4
Roraima;30/03/2020;0
Roraima;31/03/2020;0
Roraima;01/04/2020;6
Roraima;02/04/2020;4
Roraima;03/04/2020;4
Roraima;04/04/2020;7
Roraima;05/04/2020;5
Roraima;06/04/2020;0
Roraima;07/04/2020;0
Roraima;08/04/2020;7
Roraima;09/04/2020;3
Roraima;10/04/2020;11
Roraima;11/04/2020;12
Roraima;12/04/2020;4
Roraima;13/04/2020;4
Roraima;14/04/2020;30
Roraima;15/04/2020;1
Roraima;16/04/2020;28
Roraima;17/04/2020;22
Roraima;18/04/2020;37
Roraima;19/04/2020;21
Roraima;20/04/2020;22
Para;30/01/2020;0
Para;31/01/2020;0
Para;01/02/2020;0
Para;02/02/2020;0
Para;03/02/2020;0
Para;04/02/2020;0
Para;05/02/2020;0
Para;06/02/2020;0
Para;07/02/2020;0
Para;08/02/2020;0
Para;09/02/2020;0
Para;10/02/2020;0
Para;11/02/2020;0
Para;12/02/2020;0
Para;13/02/2020;0
Para;14/02/2020;0
Para;15/02/2020;0
Para;16/02/2020;0
Para;17/02/2020;0
Para;18/02/2020;0
Para;19/02/2020;0
Para;20/02/2020;0
Para;21/02/2020;0
Para;22/02/2020;0
Para;23/02/2020;0
Para;24/02/2020;0
Para;25/02/2020;0
Para;26/02/2020;0
Para;27/02/2020;0
Para;28/02/2020;0
Para;29/02/2020;0
Para;01/03/2020;0
Para;02/03/2020;0
Para;03/03/2020;0
Para;04/03/2020;0
Para;05/03/2020;0
Para;06/03/2020;0
Para;07/03/2020;0
Para;08/03/2020;0
Para;09/03/2020;0
Para;10/03/2020;0
Para;11/03/2020;0
Para;12/03/2020;0
Para;13/03/2020;0
Para;14/03/2020;0
Para;15/03/2020;0
Para;16/03/2020;0
Para;17/03/2020;0
Para;18/03/2020;0
Para;19/03/2020;1
Para;20/03/2020;1
Para;21/03/2020;0
Para;22/03/2020;2
Para;23/03/2020;1
Para;24/03/2020;0
Para;25/03/2020;2
Para;26/03/2020;6
Para;27/03/2020;0
Para;28/03/2020;4
Para;29/03/2020;1
Para;30/03/2020;3
Para;31/03/2020;11
Para;01/04/2020;8
Para;02/04/2020;6
Para;03/04/2020;4
Para;04/04/2020;30
Para;05/04/2020;6
Para;06/04/2020;16
Para;07/04/2020;36
Para;08/04/2020;29
Para;09/04/2020;1
Para;10/04/2020;2
Para;11/04/2020;47
Para;12/04/2020;29
Para;13/04/2020;24
Para;14/04/2020;53
Para;15/04/2020;61
Para;16/04/2020;54
Para;17/04/2020;119
Para;18/04/2020;83
Para;19/04/2020;45
Para;20/04/2020;217
Amapa;30/01/2020;0
Amapa;31/01/2020;0
Amapa;01/02/2020;0
Amapa;02/02/2020;0
Amapa;03/02/2020;0
Amapa;04/02/2020;0
Amapa;05/02/2020;0
Amapa;06/02/2020;0
Amapa;07/02/2020;0
Amapa;08/02/2020;0
Amapa;09/02/2020;0
Amapa;10/02/2020;0
Amapa;11/02/2020;0
Amapa;12/02/2020;0
Amapa;13/02/2020;0
Amapa;14/02/2020;0
Amapa;15/02/2020;0
Amapa;16/02/2020;0
Amapa;17/02/2020;0
Amapa;18/02/2020;0
Amapa;19/02/2020;0
Amapa;20/02/2020;0
Amapa;21/02/2020;0
Amapa;22/02/2020;0
Amapa;23/02/2020;0
Amapa;24/02/2020;0
Amapa;25/02/2020;0
Amapa;26/02/2020;0
Amapa;27/02/2020;0
Amapa;28/02/2020;0
Amapa;29/02/2020;0
Amapa;01/03/2020;0
Amapa;02/03/2020;0
Amapa;03/03/2020;0
Amapa;04/03/2020;0
Amapa;05/03/2020;0
Amapa;06/03/2020;0
Amapa;07/03/2020;0
Amapa;08/03/2020;0
Amapa;09/03/2020;0
Amapa;10/03/2020;0
Amapa;11/03/2020;0
Amapa;12/03/2020;0
Amapa;13/03/2020;0
Amapa;14/03/2020;0
Amapa;15/03/2020;0
Amapa;16/03/2020;0
Amapa;17/03/2020;0
Amapa;18/03/2020;0
Amapa;19/03/2020;0
Amapa;20/03/2020;1
Amapa;21/03/2020;0
Amapa;22/03/2020;0
Amapa;23/03/2020;0
Amapa;24/03/2020;0
Amapa;25/03/2020;0
Amapa;26/03/2020;1
Amapa;27/03/2020;0
Amapa;28/03/2020;2
Amapa;29/03/2020;0
Amapa;30/03/2020;4
